query,before_retrieved_sources,after_retrieved_sources,changed
Кто создал теорию относительности?,"doc_001, doc_002, doc_007","doc_001, doc_002, doc_007",0
Что открыла Мария Кюри?,"doc_003, doc_010, doc_007","doc_003, doc_010, doc_007",0
Кто считается первым программистом?,"doc_007, doc_008, doc_004","doc_007, doc_008, doc_018",0
Кто сформулировал законы движения?,"doc_002, doc_005, doc_012","doc_002, doc_005, doc_012",0
Кто открыл полоний и радий?,"doc_007, doc_003, doc_013","doc_007, doc_003, doc_013",0
Кто разработал теорию эволюции?,"doc_005, doc_012, doc_007","doc_005, doc_018, doc_012",0
Кто изобрёл систему переменного тока?,"doc_004, doc_007, doc_008","doc_004, doc_007, doc_008",0
Кто создал периодическую таблицу?,"doc_014, doc_007, doc_006","doc_014, doc_007, doc_006",0
Кто взломал код Энигмы?,"doc_008, doc_007, doc_015","doc_008, doc_007, doc_015",0
Что такое E=mc²?,"doc_001, doc_013, doc_008","doc_001, doc_013, doc_008",0
Кто разработал модель атома с электронными орбитами?,"doc_012, doc_007, doc_014","doc_016, doc_012, doc_007",1
Кто создал метод пастеризации?,"doc_007, doc_012, doc_010","doc_017, doc_007, doc_012",1
Кто ввёл бинарную номенклатуру?,"doc_007, doc_008, doc_012","doc_018, doc_007, doc_008",1
